name,IC,OC,IH,IW,KH,KW,OH,OW,dur
QLinearConv_token_688_kernel_time,64,256,56,56,1,1,56,56,365.0
QLinearConv_token_679_kernel_time,64,64,56,56,1,1,56,56,93.0
QLinearConv_token_682_kernel_time,64,64,56,56,3,3,56,56,450.0
QLinearConv_token_685_kernel_time,64,256,56,56,1,1,56,56,382.0
resnetv17_stage1__plus0_quant_kernel_time,,,,,,,,,172.0
QLinearConv_token_692_kernel_time,256,64,56,56,1,1,56,56,183.0
QLinearConv_token_695_kernel_time,64,64,56,56,3,3,56,56,443.0
QLinearConv_token_698_kernel_time,64,256,56,56,1,1,56,56,371.0
resnetv17_stage1__plus1_quant_kernel_time,,,,,,,,,155.0
QLinearConv_token_702_kernel_time,256,64,56,56,1,1,56,56,183.0
QLinearConv_token_705_kernel_time,64,64,56,56,3,3,56,56,443.0
QLinearConv_token_708_kernel_time,64,256,56,56,1,1,56,56,370.0
resnetv17_stage1__plus2_quant_kernel_time,,,,,,,,,155.0
QLinearConv_token_721_kernel_time,256,512,56,56,1,1,28,28,336.0
QLinearConv_token_712_kernel_time,256,128,56,56,1,1,28,28,102.0
QLinearConv_token_715_kernel_time,128,128,28,28,3,3,28,28,348.0
QLinearConv_token_718_kernel_time,128,512,28,28,1,1,28,28,205.0
resnetv17_stage2__plus0_quant_kernel_time,,,,,,,,,84.0
QLinearConv_token_725_kernel_time,512,128,28,28,1,1,28,28,155.0
QLinearConv_token_728_kernel_time,128,128,28,28,3,3,28,28,344.0
QLinearConv_token_731_kernel_time,128,512,28,28,1,1,28,28,205.0
resnetv17_stage2__plus1_quant_kernel_time,,,,,,,,,82.0
QLinearConv_token_735_kernel_time,512,128,28,28,1,1,28,28,155.0
QLinearConv_token_738_kernel_time,128,128,28,28,3,3,28,28,345.0
QLinearConv_token_741_kernel_time,128,512,28,28,1,1,28,28,207.0
resnetv17_stage2__plus2_quant_kernel_time,,,,,,,,,82.0
QLinearConv_token_745_kernel_time,512,128,28,28,1,1,28,28,155.0
QLinearConv_token_748_kernel_time,128,128,28,28,3,3,28,28,345.0
QLinearConv_token_751_kernel_time,128,512,28,28,1,1,28,28,205.0
resnetv17_stage2__plus3_quant_kernel_time,,,,,,,,,82.0
QLinearConv_token_764_kernel_time,512,1024,28,28,1,1,14,14,350.0
QLinearConv_token_755_kernel_time,512,256,28,28,1,1,14,14,101.0
QLinearConv_token_758_kernel_time,256,256,14,14,3,3,14,14,367.0
QLinearConv_token_761_kernel_time,256,1024,14,14,1,1,14,14,195.0
resnetv17_stage3__plus0_quant_kernel_time,,,,,,,,,49.0
QLinearConv_token_768_kernel_time,1024,256,14,14,1,1,14,14,169.0
QLinearConv_token_771_kernel_time,256,256,14,14,3,3,14,14,365.0
QLinearConv_token_774_kernel_time,256,1024,14,14,1,1,14,14,196.0
resnetv17_stage3__plus1_quant_kernel_time,,,,,,,,,48.0
QLinearConv_token_778_kernel_time,1024,256,14,14,1,1,14,14,170.0
QLinearConv_token_781_kernel_time,256,256,14,14,3,3,14,14,364.0
QLinearConv_token_784_kernel_time,256,1024,14,14,1,1,14,14,196.0
resnetv17_stage3__plus2_quant_kernel_time,,,,,,,,,48.0
QLinearConv_token_788_kernel_time,1024,256,14,14,1,1,14,14,170.0
QLinearConv_token_791_kernel_time,256,256,14,14,3,3,14,14,368.0
QLinearConv_token_794_kernel_time,256,1024,14,14,1,1,14,14,198.0
resnetv17_stage3__plus3_quant_kernel_time,,,,,,,,,48.0
QLinearConv_token_798_kernel_time,1024,256,14,14,1,1,14,14,170.0
QLinearConv_token_801_kernel_time,256,256,14,14,3,3,14,14,364.0
QLinearConv_token_804_kernel_time,256,1024,14,14,1,1,14,14,196.0
resnetv17_stage3__plus4_quant_kernel_time,,,,,,,,,48.0
QLinearConv_token_808_kernel_time,1024,256,14,14,1,1,14,14,168.0
QLinearConv_token_811_kernel_time,256,256,14,14,3,3,14,14,366.0
QLinearConv_token_814_kernel_time,256,1024,14,14,1,1,14,14,197.0
resnetv17_stage3__plus5_quant_kernel_time,,,,,,,,,48.0
QLinearConv_token_827_kernel_time,1024,2048,14,14,1,1,7,7,492.0
QLinearConv_token_818_kernel_time,1024,512,14,14,1,1,7,7,127.0
QLinearConv_token_821_kernel_time,512,512,7,7,3,3,7,7,521.0
QLinearConv_token_824_kernel_time,512,2048,7,7,1,1,7,7,253.0
resnetv17_stage4__plus0_quant_kernel_time,,,,,,,,,47.0
QLinearConv_token_831_kernel_time,2048,512,7,7,1,1,7,7,233.0
QLinearConv_token_834_kernel_time,512,512,7,7,3,3,7,7,517.0
QLinearConv_token_837_kernel_time,512,2048,7,7,1,1,7,7,253.0
resnetv17_stage4__plus1_quant_kernel_time,,,,,,,,,47.0
QLinearConv_token_841_kernel_time,2048,512,7,7,1,1,7,7,236.0
QLinearConv_token_844_kernel_time,512,512,7,7,3,3,7,7,514.0
QLinearConv_token_847_kernel_time,512,2048,7,7,1,1,7,7,254.0
resnetv17_stage4__plus2_quant_kernel_time,,,,,,,,,47.0
